symbol,session,side,signal_type,signal_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,quantity,pnl,r_multiple,exit_reason,atr_fraction,status,leverage,margin,liquidation_price,notional,fees,gross_pnl,atr,initial_stop,trail_extreme,breakeven_done
AAPL,2026-07-24,short,power_tower,2026-07-24T09:50:00-04:00,2026-07-24T09:50:00-04:00,2026-07-24T10:37:00-04:00,326.4771915,329.5217038452254,329.4558126826889,321.66,0.6714516137948615,-2.0442427274199537,-1.0221213637099769,stop,0.5888107617592504,closed,4.0,54.80340927497226,408.09648937500003,219.21363709988904,0.0,-2.0442427274199537,7.328330730755717,329.4558126826889,326.29,False
TSLA,2026-07-24,long,power_tower,2026-07-24T09:55:00-04:00,2026-07-24T09:55:00-04:00,2026-07-24T11:20:00-04:00,316.253238,308.47184017565985,308.53354688503686,322.87,0.2590777234756686,-2.0159868337885696,-1.0079934168942848,stop,0.2673821479588569,closed,4.0,20.483542235712203,237.1899285,81.93416894284881,0.0,-2.0159868337885696,22.477192459852528,308.53354688503686,317.1,False
GLD,2026-07-27,short,john_wick,2026-07-27T09:40:00-04:00,2026-07-27T09:55:00-04:00,2026-07-27T09:56:00-04:00,374.73503800000003,373.96477799999997,376.6809253305736,373.89,1.0278087372152709,0.7916799579275007,0.39583997896375034,target,0.19475057271754576,closed,4.0,96.28898654927414,468.41879750000004,385.15594619709657,0.0,0.7916799579275007,5.853641322294709,376.6809253305736,373.62,False
NVDA,2026-07-27,long,john_wick,2026-07-27T09:45:00-04:00,2026-07-27T09:50:00-04:00,2026-07-27T10:28:00-04:00,202.880568,199.410869388615,199.4507595405231,208.64,0.5831229421788265,-2.0232608627446176,-1.011630431372309,stop,0.982147788994729,closed,4.0,29.576078430767872,152.160426,118.30431372307149,0.0,-2.0232608627446176,6.6945118379076,199.4507595405231,203.04,False
GLD,2026-07-24,short,john_wick,2026-07-24T10:30:00-04:00,2026-07-24T10:40:00-04:00,2026-07-27T12:06:00+00:00,372.865412,374.8405632623588,374.76561014033075,371.13,1.0525218173573572,-2.078889796213555,-1.0394448981067774,stop,0.1781838029073286,closed,4.0,98.11224526698493,466.081765,392.4489810679397,0.0,-2.078889796213555,5.556060561323282,374.76561014033075,371.5,False
SPY,2026-07-28,long,john_wick,2026-07-28T09:45:00-04:00,2026-07-28T09:50:00-04:00,2026-07-28T10:50:00-04:00,737.737518,739.272116,733.8677963492474,739.42,0.5168330387822704,0.7931309476491739,0.39656547382458696,target,0.4015897541674607,closed,4.0,95.32178081290748,553.3031385,381.2871232516299,0.0,0.7931309476491739,7.096794603010402,733.8677963492474,739.61,False
AAPL,2026-07-29,short,john_wick,2026-07-29T09:50:00-04:00,2026-07-29T09:55:00-04:00,2026-07-29T11:04:00-04:00,342.901406,339.737934,342.901406,339.67,0.7693878297717697,2.43393685662377,0.0,target,0.3519976478788134,closed,4.0,65.95604214700712,428.6267575,263.8241685880285,0.0,2.43393685662377,6.6761809749621674,345.50087524374055,339.53,True
GLD,2026-07-30,short,power_tower,2026-07-30T09:45:00-04:00,2026-07-30T09:45:00-04:00,2026-07-30T10:00:00-04:00,375.169951,377.5429407972754,377.4674473078138,373.755,0.8705128244158642,-2.0657180507361956,-1.0328590253680978,stop,0.45506049252151837,closed,4.0,81.64756342024285,468.96243875000005,326.5902536809714,0.0,-2.0657180507361956,4.757609231255435,377.4674473078138,374.76,False
QQQ,2026-07-30,short,power_tower,2026-07-30T10:30:00-04:00,2026-07-30T10:30:00-04:00,2026-07-30T16:00:00+00:00,682.41349,679.59,682.41349,673.43,0.457470837186718,1.291664334088323,0.0,session_close,0.38353811105133206,closed,4.0,78.0460676444525,853.0168625,312.18427057781,0.0,1.291664334088323,11.094073515501341,686.7853533788752,677.8,True
TSLA,2026-07-30,short,power_tower,2026-07-30T10:05:00-04:00,2026-07-30T10:05:00-04:00,2026-07-30T16:00:00+00:00,307.268534,305.47,312.0038996226838,301.51,0.42235387071684916,0.7596177965158412,0.3798088982579206,session_close,0.4634563322520606,closed,4.0,32.44401367109794,384.0856675,129.77605468439177,0.0,0.7596177965158412,12.838318490735292,312.0038996226838,303.53,False
