exit_time,pnl,equity
2026-07-27T06:48:00+00:00,-0.1714013880016657,99.82859861199833
2026-07-27T07:30:00+00:00,0.7384705082118375,100.56706912021018
2026-07-27T14:20:00+00:00,4.0939609759101145,104.66103009612029
2026-07-27T14:20:00+00:00,3.46128758642049,108.12231768254078
2026-07-27T14:28:00+00:00,4.1908329909423205,112.3131506734831
2026-07-28T01:07:00+00:00,-6.302481634913844,106.01066903856925
2026-07-28T14:36:00+00:00,2.387067879816769,108.39773691838602
2026-07-28T14:36:00+00:00,1.1762576452238898,109.57399456360992
2026-07-28T14:41:00+00:00,2.0128037694643552,111.58679833307427
2026-07-29T00:32:00+00:00,0.46184533072108686,112.04864366379536
2026-07-29T14:26:00+00:00,2.885803052589823,114.93444671638518
2026-07-30T14:18:00+00:00,3.2544135469258473,118.18886026331103
2026-07-31T14:10:00+00:00,-6.7901172768086075,111.39874298650241
2026-07-31T23:55:00+00:00,-0.19037292297826797,111.20837006352414
2026-08-02T00:52:00+00:00,-0.23277511662397565,110.97559494690017
2026-08-03T18:06:00+00:00,-6.507232016315722,104.46836293058445
2026-08-03T21:54:00+00:00,1.7908276983847844,106.25919062896924
2026-08-04T23:48:00+00:00,1.870131780979339,108.12932240994857
2026-08-05T21:01:00+00:00,0.30346153042662394,108.4327839403752
